GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR3679,25,17,28,15,22,19,30,42,11,15,21,32,4,22,27,18,20,14,57,16,19,16,13,49,32,19,38,30,19,42,12,26,5,23,16,8,7,15,57,20,57,37,11,18,19,10,4,22,16,14,18,12,15,29,10,12,19,29,12,18,13,16,12,9,32,19
MIR5193,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1
MIR1538,1,5,0,2,0,4,3,1,0,0,1,0,2,0,1,1,2,2,0,3,1,0,0,0,0,0,2,2,0,0,1,0,4,3,0,0,3,0,2,10,1,1,3,0,1,3,2,0,0,3,3,0,4,1,2,0,0,3,0,1,1,3,1,1,1,1
MIR4646,2,1,1,3,3,3,1,2,1,4,7,4,1,0,2,1,5,5,6,9,7,1,1,8,4,1,1,6,4,4,4,1,1,3,1,2,1,2,5,1,5,5,1,2,1,2,8,1,10,9,14,7,2,1,1,5,4,1,5,1,7,6,1,5,1,9
MIR3605,17,10,23,10,14,19,13,7,10,6,21,13,16,9,31,6,18,28,39,15,9,15,14,16,11,17,13,26,44,11,14,37,9,33,26,29,10,8,21,40,26,12,8,14,29,16,19,24,8,34,16,18,32,15,27,18,14,19,16,18,14,25,3,15,18,11
MIR512-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR6857,11,5,7,9,7,4,16,13,5,0,17,11,3,6,20,14,7,9,12,7,1,5,2,2,9,8,23,3,6,13,16,22,7,22,3,32,2,2,11,8,8,8,3,5,11,3,14,3,5,3,7,1,6,9,8,5,4,8,8,9,4,9,1,1,13,8
MIR518D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR7851,20,4,20,8,11,6,33,15,14,20,7,15,5,12,30,1,14,16,30,10,10,6,12,33,18,14,18,17,10,5,27,16,8,24,10,6,6,0,11,34,26,21,4,6,13,13,8,37,13,16,5,27,29,7,13,16,10,11,0,34,10,10,11,5,15,6
MIR99B,4,30,1,4,2,4,0,3,3,0,1,6,6,7,2,2,1,13,3,16,4,2,1,2,0,4,0,0,5,4,2,4,1,7,7,0,2,2,0,2,6,1,6,3,4,9,2,0,4,14,7,8,10,6,1,13,1,0,10,2,6,4,4,6,3,2
